TaxaID,Rank,Slash,NonTarget,BCG_sens,Habit_CBCN,Order_EPT,Volt_semi,TolVal,BCG_Attr,BCG_Attr2,FFG,FFG_Src,HABIT,HABIT_Src,LIFE_CYCLE,LIFE_CYCLE_Src,THERMAL_INDICATOR,AirBreather,PHYLUM,CLASS,ORDER,FAMILY,GENUS,KBGENSPE,NOD,AP,HM,POC,SA,SSS,Min_HM1988,Max_HM1988,Mean_HM1988,KBTOLR
ALOTANYPUS,Genus,,FALSE,,,,,NA,NA,NA,PR,Tward,BU,Tward; NRSA,NA,,,FALSE,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,ALOTANYPUS,ALOTANYPUS,,,,,,,,,,6
AMERCAENIS,Genus,,FALSE,,,yes,,5,4,4_middle,"CF,CG",IA; NE; OK; MN; Tward,SP,NE; MN; Tward; NRSA,uni,Tward,,FALSE,ARTHROPODA,INSECTA,EPHEMEROPTERA,CAENIDAE,AMERCAENIS,,,,,,,,,,,
AMERCAENIS RIDENS,Species,,FALSE,,,yes,,5,4,4_middle,"CF,CG",IA; NE; OK; MN; Tward,SP,NE; MN; Tward; NRSA,uni,Tward,,FALSE,ARTHROPODA,INSECTA,EPHEMEROPTERA,CAENIDAE,AMERCAENIS,AMERCAENIS RIDENS,,,,,,,,,,4
AMERCAENIS/CAENIS,Genus,Slash,FALSE,,,yes,,5,4,4_middle,CG,NRSA based on Caenidae,SP,Tward; NRSA,"multi,uni",Tward; NRSA,,FALSE,ARTHROPODA,INSECTA,EPHEMEROPTERA,CAENIDAE,AMERCAENIS/CAENIS,,,,,,,,,,,
AMNICOLA,Genus,,FALSE,,yes,,,5,4,4_middle,SC,IA; OK; MN,CB,MN,NA,,,FALSE,MOLLUSCA,GASTROPODA,NEOTAENIOGLOSSA,HYDROBIIDAE,AMNICOLA,,,,,,,,,,,
AMNICOLA LIMOSA,Species,,FALSE,,yes,,,5,4,4_middle,SC,IA; OK; MN,CB,MN,NA,,,FALSE,MOLLUSCA,GASTROPODA,NEOTAENIOGLOSSA,HYDROBIIDAE,AMNICOLA,AMNICOLA LIMOSA,,,,,,,,,,4
AMPHINEMURA,Genus,,FALSE,yes,yes,yes,,2,3,,SH,IA; OK; MN; Tward; NRSA,"SP,CN",MN; Tward; NRSA,uni,Tward; NRSA,,FALSE,ARTHROPODA,INSECTA,PLECOPTERA,NEMOURIDAE,AMPHINEMURA,,0,2,3,1,2,2,0,3,1.666666667,
AMPHINEMURA VARSHAVA,Species,,FALSE,yes,yes,yes,,2,3,,SH,IA; OK; MN; Tward; NRSA,"SP,CN",MN; Tward; NRSA,uni,Tward; NRSA,,FALSE,ARTHROPODA,INSECTA,PLECOPTERA,NEMOURIDAE,AMPHINEMURA,AMPHINEMURA VARSHAVA,0,2,3,1,2,2,0,3,1.666666667,2
AMPHIPODA,Order,,FALSE,,,,,NA,NA,NA,CG,NE; OK; MN,SP,OK; MN,NA,,,FALSE,ARTHROPODA,MALACOSTRACA,AMPHIPODA,,,,,,,,,,,,,
ANACAENA,Genus,,FALSE,,,,,5,4,4_middle,PR,NE; Tward; NRSA,BU,OK; MN; Tward; NRSA,uni,Tward; NRSA,,TRUE,ARTHROPODA,INSECTA,COLEOPTERA,HYDROPHILIDAE,ANACAENA,ANACAENA,,,,,,,,,,99
ANAX,Genus,,FALSE,,yes,,,6,4,4_worse,PR,IA; NE; OK; MN; Tward; NRSA,"CB,CN",IA; NE; MN; Tward; NRSA,"multi,uni",NRSA,,FALSE,ARTHROPODA,INSECTA,ODONATA,AESHNIDAE,ANAX,,3,4,1,3,3,4,1,4,3,
ANAX JUNIUS,Species,,FALSE,,yes,,,6,4,4_worse,PR,IA; NE; OK; MN; Tward; NRSA,"CB,CN",IA; NE; MN; Tward; NRSA,"multi,uni",NRSA,,FALSE,ARTHROPODA,INSECTA,ODONATA,AESHNIDAE,ANAX,ANAX JUNIUS,3,4,1,3,3,4,1,4,3,4
ANCYLIDAE,Family,,FALSE,,yes,,,5,4,4_middle,SC,IA; NE; MODNR; OK; MN,CB,OK; MN,uni,NRSA,,FALSE,MOLLUSCA,GASTROPODA,BASOMMATOPHORA,ANCYLIDAE,,,,,,,,,,,,
ANCYRONYX,Genus,,FALSE,,yes,,yes,5,4,4_middle,CG,IA; NE; MODNR; MN; Tward; NRSA,CN,NE; MN; Tward; NRSA,"semi,uni",NRSA,,FALSE,ARTHROPODA,INSECTA,COLEOPTERA,ELMIDAE,ANCYRONYX,,2,4,1,2,2,1,1,4,2,
ANCYRONYX VARIEGATUS,Species,,FALSE,,yes,,yes,5,4,4_middle,CG,IA; NE; MODNR; MN; Tward; NRSA,CN,NE; MN; Tward; NRSA,"semi,uni",NRSA,,FALSE,ARTHROPODA,INSECTA,COLEOPTERA,ELMIDAE,ANCYRONYX,ANCYRONYX VARIEGATUS,2,4,1,2,2,1,1,4,2,4
ANOPHELES,Genus,,FALSE,,,,,5,4,4_middle,CF,IA; NE; MODNR; OK; MN; Tward; NRSA,SW,NE; MODNR; OK; MN; Tward; NRSA,multi,Tward,,TRUE,ARTHROPODA,INSECTA,DIPTERA,CULICIDAE,ANOPHELES,ANOPHELES,5,4,3,4,4,2,2,5,3.666666667,10
ANTHOMYIIDAE,Family,,FALSE,,,,,NA,NA,NA,PR,NE; OK,SP,NE,NA,,,FALSE,ARTHROPODA,INSECTA,DIPTERA,ANTHOMYIIDAE,,,3,3,1,3,4,4,1,4,3,
ANTHOPOTAMUS,Genus,,FALSE,,,yes,,6,4,4_worse,CF,IA; MODNR; OK; Tward,BU,MODNR; OK; MN; Tward; NRSA,uni,Tward; NRSA,,FALSE,ARTHROPODA,INSECTA,EPHEMEROPTERA,POTAMANTHIDAE,ANTHOPOTAMUS,ANTHOPOTAMUS,,,,,,,,,,5
ANTHOPOTAMUS MYOPS,Species,,FALSE,,,yes,,6,4,4_worse,CF,IA; OK; MN; Tward,BU,MN; Tward; NRSA,uni,Tward; NRSA,,FALSE,ARTHROPODA,INSECTA,EPHEMEROPTERA,POTAMANTHIDAE,ANTHOPOTAMUS,ANTHOPOTAMUS MYOPS,,,,,,,,,,5
APOBAETIS,Genus,,FALSE,,,yes,,NA,NA,NA,CG,IA; NE; MODNR; OK; Tward,SW,IA; MODNR; OK; Tward; NRSA,multi,Tward,,FALSE,ARTHROPODA,INSECTA,EPHEMEROPTERA,BAETIDAE,APOBAETIS,APOBAETIS,3,0,3,0,3,3,0,3,2,4
APSECTROTANYPUS,Genus,,FALSE,,,,,NA,NA,NA,PR,NE; MN; Tward; NRSA,BU,MN; Tward; NRSA,multi,Tward,,FALSE,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,APSECTROTANYPUS,APSECTROTANYPUS,,,,,,,,,,6
AQUARIUS,Genus,,FALSE,,,,,5,4,4_middle,PR,IA; MODNR; MN; Tward; NRSA,SK,MODNR; OK; MN; Tward; NRSA,multi,Tward,cool,TRUE,ARTHROPODA,INSECTA,HEMIPTERA,GERRIDAE,AQUARIUS,AQUARIUS,,,,,,,,,,99
AQUARIUS NEBULARIS,Species,,FALSE,,,,,5,4,4_middle,PR,Tward; NRSA,SK,Tward; NRSA,multi,Tward,,TRUE,ARTHROPODA,INSECTA,HEMIPTERA,GERRIDAE,AQUARIUS,AQUARIUS NEBULARIS,,,,,,,,,,99
ARACHNIDA,Class,,TRUE,,yes,,,NA,NA,NA,"CG,PR",NE; OK,CB,NE,NA,,,FALSE,ARTHROPODA,ARACHNIDA,,,,,,,,,,,,,,
ARCHILESTES,Genus,,FALSE,,yes,,,5,4,4_middle,PR,IA; NE; OK; MN; Tward,CB,NE; MN; Tward; NRSA,uni,Tward; NRSA,,FALSE,ARTHROPODA,INSECTA,ODONATA,LESTIDAE,ARCHILESTES,,3,5,1,3,3,4,1,5,3.166666667,
ARCHILESTES GRANDIS,Species,,FALSE,,yes,,,5,4,4_middle,PR,IA; NE; OK; MN; Tward,CB,NE; MN; Tward; NRSA,uni,Tward; NRSA,,FALSE,ARTHROPODA,INSECTA,ODONATA,LESTIDAE,ARCHILESTES,ARCHILESTES GRANDIS,3,5,1,3,3,4,1,5,3.166666667,3
ARGIA,Genus,,FALSE,,yes,,,6,4,4_worse,PR,IA; NE; MODNR; OK; MN; Tward; NRSA,"CB,CN",NE; OK; MN; NRSA; Tward; MO,uni,Tward; NRSA,,FALSE,ARTHROPODA,INSECTA,ODONATA,COENAGRIONIDAE,ARGIA,ARGIA,2,4,2,3,3,3,2,4,2.833333333,6
ARGIA APICALIS,Species,,FALSE,,yes,,,6,4,4_worse,PR,IA; MN; Tward; NRSA,"CB,CN",MN; Tward; NRSA,uni,Tward; NRSA,,FALSE,ARTHROPODA,INSECTA,ODONATA,COENAGRIONIDAE,ARGIA,ARGIA APICALIS,3,4,2,3,3,3,2,4,3,6
ARGIA BIPUNCTULATA,Species,,FALSE,,yes,,,6,4,4_worse,PR,NE; OK; MN; Tward; NRSA,"CB,CN",MN; Tward; NRSA,uni,Tward; NRSA,,FALSE,ARTHROPODA,INSECTA,ODONATA,COENAGRIONIDAE,ARGIA,ARGIA BIPUNCTULATA,1,4,1,3,3,3,1,4,2.5,6
ARGIA FUMIPENNIS,Species,,FALSE,,yes,,,6,4,4_worse,PR,NE; OK; Tward; NRSA,"CB,CN",NE; NRSA; Tward,uni,Tward; NRSA,,FALSE,ARTHROPODA,INSECTA,ODONATA,COENAGRIONIDAE,ARGIA,ARGIA FUMIPENNIS,,,,,,,,,,6
ARGIA FUMIPENNIS VIOLACEA,Species,,FALSE,,yes,,,6,4,4_worse,PR,NE; OK; Tward; NRSA,"CB,CN",NE; NRSA; Tward,uni,Tward; NRSA,,FALSE,ARTHROPODA,INSECTA,ODONATA,COENAGRIONIDAE,ARGIA,ARGIA FUMIPENNIS VIOLACEA,,,,,,,,,,6
ARGIA MOESTA,Species,,FALSE,,yes,,,6,4,4_worse,PR,IA; OK; MN; Tward; NRSA,"CB,CN",MN; NRSA; Tward,uni,Tward; NRSA,,FALSE,ARTHROPODA,INSECTA,ODONATA,COENAGRIONIDAE,ARGIA,ARGIA MOESTA,3,4,3,3,3,4,3,4,3.333333333,6
ARGULUS,Genus,,TRUE,,,,,NA,NA,NA,NA,,NA,,NA,,,FALSE,ARTHROPODA,MAXILLOPODA,ARGULOIDA,ARGULIDAE,ARGULUS,ARGULUS,,,,,,,,,,99
ARIGOMPHUS,Genus,,FALSE,,,,yes,5,4,4_middle,PR,IA; NE; MODNR; OK; MN; Tward; NRSA,BU,IA; NE; MODNR; OK; MN; Tward; NRSA,semi,Tward; NRSA,,FALSE,ARTHROPODA,INSECTA,ODONATA,GOMPHIDAE,ARIGOMPHUS,ARIGOMPHUS,2,2,1,3,3,5,1,5,2.666666667,4
ARIGOMPHUS LENTULUS,Species,,FALSE,,,,yes,5,4,4_middle,PR,OK; Tward; NRSA,BU,Tward; NRSA,semi,Tward; NRSA,,FALSE,ARTHROPODA,INSECTA,ODONATA,GOMPHIDAE,ARIGOMPHUS,ARIGOMPHUS LENTULUS,2,2,1,3,3,5,1,5,2.666666667,4
ARIGOMPHUS LENTULUS/GOMPHUS MILITARIS,Species,Slash,FALSE,,,,yes,5,4,4_middle,PR,NRSA based on genus,BU,Tward; NRSA,semi,Tward; NRSA,,FALSE,ARTHROPODA,INSECTA,ODONATA,GOMPHIDAE,ARIGOMPHUS,ARIGOMPHUS LENTULUS/GOMPHUS MILITARIS,,,,,,,,,,
ARIGOMPHUS SUBMEDIANUS,Species,,FALSE,,,,yes,5,4,4_middle,PR,OK; MN; Tward; NRSA,BU,MN; Tward; NRSA,semi,Tward; NRSA,,FALSE,ARTHROPODA,INSECTA,ODONATA,GOMPHIDAE,ARIGOMPHUS,ARIGOMPHUS SUBMEDIANUS,2,2,1,3,3,5,1,5,2.666666667,4
ASELLIDAE,Family,,FALSE,,,,,5,4,4_middle,CG,IA; OK; MN,SP,NE; OK; MN,NA,,,FALSE,ARTHROPODA,MALACOSTRACA,ISOPODA,ASELLIDAE,,,,,,,,,,,,
ASELLUS,Genus,,FALSE,,,,,5,4,4_middle,CG,OK; MN; NRSA,SP,NE; OK; MN; NRSA,NA,,,FALSE,ARTHROPODA,MALACOSTRACA,ISOPODA,ASELLIDAE,ASELLUS,ASELLUS,,,,,,,,,,6
ATHERIX,Genus,,FALSE,yes,,,,4,4,4_better,PR,IA; NE; MODNR; OK; MN; Tward; NRSA,SP,MODNR; OK; MN; Tward; NRSA,uni,Tward; NRSA,,FALSE,ARTHROPODA,INSECTA,DIPTERA,ATHERICIDAE,ATHERIX,ATHERIX,2,4,3,3,3,2,2,4,2.833333333,10
ATRICHOPOGON,Genus,,FALSE,,yes,,,5,4,4_middle,"CG,PR",IA; NE; OK; MN; Tward; NRSA,"CN,SP",NRSA; MN; OK; Tward,multi,Tward; NRSA,,FALSE,ARTHROPODA,INSECTA,DIPTERA,CERATOPOGONIDAE,ATRICHOPOGON,ATRICHOPOGON,3,3,2,3,2,2,2,3,2.5,10
ATTANEURIA,Genus,,FALSE,yes,yes,yes,yes,2,3,,PR,IA; MODNR; MN; Tward; NRSA,"CN,SW",MN; Tward; NRSA,semi,Tward; NRSA,,FALSE,ARTHROPODA,INSECTA,PLECOPTERA,PERLIDAE,ATTANEURIA,,1,2,1,1,3,2,1,3,1.666666667,
ATTANEURIA RURALIS,Species,,FALSE,yes,yes,yes,yes,2,3,,PR,IA; MODNR; MN; Tward; NRSA,"CN,SW",MN; Tward; NRSA,semi,Tward; NRSA,,FALSE,ARTHROPODA,INSECTA,PLECOPTERA,PERLIDAE,ATTANEURIA,ATTANEURIA RURALIS,1,2,1,1,3,2,1,3,1.666666667,2
AULODRILUS PLURISETA,Species,,FALSE,,,,,5,4,4_middle,CG,NE; NRSA,"BU,SP",MN; NRSA; NE,NA,,,FALSE,ANNELIDA,OLIGOCHAETA,TUBIFICIDA,NAIDIDAE,AULODRILUS,AULODRILUS PLURISETA,,,,,,,,,,10
AXARUS,Genus,,FALSE,yes,,,,5,4,4_better,CG,NE; MODNR; OK; MN; Tward; NRSA,SP,NE; MODNR; OK; MN; Tward; NRSA,NA,,,FALSE,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,AXARUS,AXARUS,3,3,1,3,3,4,1,4,2.833333333,6
BACTRURUS,Genus,,FALSE,,,,,NA,NA,NA,CG,MODNR; OK,NA,,NA,,,FALSE,ARTHROPODA,MALACOSTRACA,AMPHIPODA,CRANGONYCTIDAE,BACTRURUS,BACTRURUS,,,,,,,,,,4
BAETIDAE,Family,,FALSE,,,yes,,5,4,4_middle,CG,IA; NE; MODNR; OK; MN; ;,SW,MODNR; OK; MN,multi,NRSA,,FALSE,ARTHROPODA,INSECTA,EPHEMEROPTERA,BAETIDAE,,,2,0,2,0,3,3,0,3,1.666666667,
BAETIS,Genus,,FALSE,,yes,yes,,5,4,4_middle,CG,IA; NE; MODNR; OK; MN; Tward; NRSA,"SW,CN",IA; MODNR; OK; MN; Tward,multi,Tward; NRSA,,FALSE,ARTHROPODA,INSECTA,EPHEMEROPTERA,BAETIDAE,BAETIS,BAETIS,2,0,2,0,3,3,0,3,1.666666667,4
BAETIS INTERCALARIS,Species,,FALSE,,yes,yes,,5,4,4_middle,CG,IA; NE; OK; MN; Tward; NRSA,"SW,CN",NRSA; Tward,multi,Tward; NRSA,,FALSE,ARTHROPODA,INSECTA,EPHEMEROPTERA,BAETIDAE,BAETIS,BAETIS INTERCALARIS,3,0,3,0,4,3,0,4,2.166666667,4
BAETIS/FALLCEON/HETEROCLOEON/PLAUDITUS,Genus,Slash,FALSE,,yes,yes,,5,4,4_middle,CG,NRSA based on Baetis,"SW,CN",NRSA; Tward,multi,Tward; NRSA,,FALSE,ARTHROPODA,INSECTA,EPHEMEROPTERA,BAETIDAE,BAETIS/FALLCEON/HETEROCLOEON/PLAUDITUS,,,,,,,,,,,
BASIAESCHNA,Genus,,FALSE,yes,yes,,,4,4,4_better,PR,IA; MODNR; OK; MN; Tward; NRSA,"CB,CN",IA; MN; Tward; NRSA; MO,uni,NRSA,,FALSE,ARTHROPODA,INSECTA,ODONATA,AESHNIDAE,BASIAESCHNA,,2,4,1,3,3,2,1,4,2.5,
BASIAESCHNA JANATA,Species,,FALSE,yes,yes,,,4,4,4_better,PR,IA; MODNR; OK; MN; Tward; NRSA,"CB,CN",IA; MN; Tward; NRSA; MO,uni,NRSA,,FALSE,ARTHROPODA,INSECTA,ODONATA,AESHNIDAE,BASIAESCHNA,BASIAESCHNA JANATA,2,4,1,3,3,2,1,4,2.5,4
BELOSTOMA,Genus,,FALSE,,yes,,,7,4,4_middle,PR,IA; NE; MODNR; OK; MN; Tward; NRSA,CB,OK; MN; Tward; NRSA,"multi,uni",Tward,,TRUE,ARTHROPODA,INSECTA,HEMIPTERA,BELOSTOMATIDAE,BELOSTOMA,BELOSTOMA,3,4,3,3,3,3,3,4,3.166666667,99
BELOSTOMATIDAE,Family,,FALSE,,yes,,,7,4,4_middle,PR,IA; NE; MODNR; OK; MN; ;,CB,OK; MN,multi,NRSA,,TRUE,ARTHROPODA,INSECTA,HEMIPTERA,BELOSTOMATIDAE,,,2,4,2,3,3,3,2,4,2.833333333,
BEROSUS,Genus,,FALSE,,,,,5,4,4_middle,"PH,CG",IA; MODNR; OK; NRSA; Tward; MN,SW,NE; MODNR; OK; MN; Tward; NRSA,multi,NRSA,,TRUE,ARTHROPODA,INSECTA,COLEOPTERA,HYDROPHILIDAE,BEROSUS,BEROSUS,3,4,3,3,3,3,3,4,3.166666667,99
BEZZIA/PALPOMYIA,Genus,Slash,FALSE,,,,,5,4,4_middle,PR,IA; MN,SP,OK; MN,NA,,,FALSE,ARTHROPODA,INSECTA,DIPTERA,CERATOPOGONIDAE,BEZZIA,BEZZIA/PALPOMYIA,3,3,3,3,3,4,3,4,3.166666667,10
BIVALVIA,Class,,FALSE,,,,,NA,NA,NA,CF,IA; OK; MN,BU,OK,NA,,,FALSE,MOLLUSCA,BIVALVIA,,,,,,,,,,,,,,
BOYERIA,Genus,,FALSE,,yes,,,5,4,4_middle,PR,IA; NE; MODNR; OK; MN; Tward; NRSA,"CB,CN",IA; NE; MN; Tward; NRSA,multi,NRSA,,FALSE,ARTHROPODA,INSECTA,ODONATA,AESHNIDAE,BOYERIA,BOYERIA,1,4,1,3,3,4,1,4,2.666666667,4
BOYERIA VINOSA,Species,,FALSE,,yes,,,5,4,4_middle,PR,IA; NE; OK; MN; Tward; NRSA,"CB,CN",IA; NE; MN; Tward; NRSA,multi,NRSA,,FALSE,ARTHROPODA,INSECTA,ODONATA,AESHNIDAE,BOYERIA,BOYERIA VINOSA,1,4,1,3,3,4,1,4,2.666666667,4
BRACHYCENTRUS,Genus,,FALSE,,yes,yes,,5,4,4_middle,CF,IA; NE; MODNR; MN; Tward; NRSA,CN,OK; MN; Tward; NRSA,uni,Tward; NRSA,,FALSE,ARTHROPODA,INSECTA,TRICHOPTERA,BRACHYCENTRIDAE,BRACHYCENTRUS,BRACHYCENTRUS,1,3,2,2,3,4,1,4,2.5,4
BRACHYCENTRUS NUMEROSUS,Species,,FALSE,,yes,yes,,5,4,4_middle,CF,IA; NE; MODNR; MN; Tward; NRSA,CN,MN; Tward; NRSA,uni,Tward; NRSA,,FALSE,ARTHROPODA,INSECTA,TRICHOPTERA,BRACHYCENTRIDAE,BRACHYCENTRUS,BRACHYCENTRUS NUMEROSUS,1,3,2,2,3,4,1,4,2.5,4
BRACHYCERCUS,Genus,,FALSE,,,yes,,5,4,4_middle,CG,IA; NE; MODNR; OK; MN; Tward; NRSA,SP,NE; MODNR; OK; MN; Tward; NRSA,multi,NRSA,,FALSE,ARTHROPODA,INSECTA,EPHEMEROPTERA,CAENIDAE,BRACHYCERCUS,BRACHYCERCUS,2,1,3,1,3,3,1,3,2.166666667,4
BRANCHIOBDELLIDAE,Family,,TRUE,,yes,,,5,4,4_middle,CG,NRSA,CB,NRSA,NA,,,FALSE,ANNELIDA,OLIGOCHAETA,BRANCHIOBDELLID,BRANCHIOBDELLIDAE,,,,,,,,,,,,
BRANCHIURA SOWERBYI,Species,,FALSE,,yes,,,5,4,4_middle,CG,IA; NE; MODNR; OK; NRSA,CB,NRSA,NA,,warm,FALSE,ANNELIDA,OLIGOCHAETA,TUBIFICIDA,NAIDIDAE,BRANCHIURA,BRANCHIURA SOWERBYI,,,,,,,,,,10
BRATISLAVIA,Genus,,FALSE,,yes,,,5,4,4_middle,CG,NE; OK; MN; NRSA,"BU,CN",OK; MN; NRSA; NE,NA,,,FALSE,ANNELIDA,OLIGOCHAETA,TUBIFICIDA,NAIDIDAE,BRATISLAVIA,BRATISLAVIA,,,,,,,,,,10
