TaxaID_orig,KS_TAXACODE,Rank_orig,NonTarget,OTU_MMI,OTU_MMI_genus,OTU_BCG,PHYLUM,CLASS,ORDER,FAMILY,GENUS,NumSamp_All,NumSites_All,Yr_Min,Yr_Max,NumSamp_SB,NumSamp_SP
AMNICOLA LIMOSA,942,Species,FALSE,AMNICOLA LIMOSA,AMNICOLA,AMNICOLA LIMOSA,MOLLUSCA,GASTROPODA,NEOTAENIOGLOSSA,HYDROBIIDAE,AMNICOLA,3,3,2014,2017,2,1
AMPHINEMURA,,FALSE,FALSE,AMPHINEMURA,AMPHINEMURA,AMPHINEMURA,ARTHROPODA,INSECTA,PLECOPTERA,NEMOURIDAE,AMPHINEMURA,,,,,,
AMPHINEMURA VARSHAVA,756,Species,FALSE,AMPHINEMURA VARSHAVA,AMPHINEMURA,AMPHINEMURA VARSHAVA,ARTHROPODA,INSECTA,PLECOPTERA,NEMOURIDAE,AMPHINEMURA,3,3,1984,2001,3,
AMPHIPODA,489,Order,FALSE,AMPHIPODA,AMPHIPODA,AMPHIPODA,ARTHROPODA,MALACOSTRACA,AMPHIPODA,,,2,2,1986,2008,1,1
ANACAENA,249,Genus,FALSE,ANACAENA,ANACAENA,ANACAENA,ARTHROPODA,INSECTA,COLEOPTERA,HYDROPHILIDAE,ANACAENA,25,20,2006,2016,15,10
ANAX,,Genus,FALSE,ANAX,ANAX,ANAX,ARTHROPODA,INSECTA,ODONATA,AESHNIDAE,ANAX,,,,,,
ANAX JUNIUS,589,Species,FALSE,ANAX JUNIUS,ANAX,ANAX JUNIUS,ARTHROPODA,INSECTA,ODONATA,AESHNIDAE,ANAX,39,35,1980,2019,20,19
ANCYLIDAE,317,Family,FALSE,ANCYLIDAE,ANCYLIDAE,ANCYLIDAE,MOLLUSCA,GASTROPODA,BASOMMATOPHORA,ANCYLIDAE,,12,12,2006,2017,8,4
ANCYRONYX,,Genus,FALSE,ANCYRONYX,ANCYRONYX,ANCYRONYX,ARTHROPODA,INSECTA,COLEOPTERA,ELMIDAE,ANCYRONYX,,,,,,
ANCYRONYX VARIEGATUS,694,Species,FALSE,ANCYRONYX VARIEGATUS,ANCYRONYX,ANCYRONYX VARIEGATUS,ARTHROPODA,INSECTA,COLEOPTERA,ELMIDAE,ANCYRONYX,25,5,1981,2018,23,2
ANOPHELES,650,Genus,FALSE,ANOPHELES,ANOPHELES,ANOPHELES,ARTHROPODA,INSECTA,DIPTERA,CULICIDAE,ANOPHELES,77,59,1980,2020,43,34
ANTHOMYIIDAE,210,Family,FALSE,ANTHOMYIIDAE,ANTHOMYIIDAE,ANTHOMYIIDAE,ARTHROPODA,INSECTA,DIPTERA,ANTHOMYIIDAE,,3,3,1980,1990,3,
ANTHOPOTAMUS,105,Genus,FALSE,ANTHOPOTAMUS,ANTHOPOTAMUS,ANTHOPOTAMUS,ARTHROPODA,INSECTA,EPHEMEROPTERA,POTAMANTHIDAE,ANTHOPOTAMUS,126,46,1980,2018,103,23
ANTHOPOTAMUS MYOPS,686,Species,FALSE,ANTHOPOTAMUS MYOPS,ANTHOPOTAMUS,ANTHOPOTAMUS MYOPS,ARTHROPODA,INSECTA,EPHEMEROPTERA,POTAMANTHIDAE,ANTHOPOTAMUS,287,43,1981,2018,282,5
APOBAETIS,1446,Genus,FALSE,APOBAETIS,APOBAETIS,APOBAETIS,ARTHROPODA,INSECTA,EPHEMEROPTERA,BAETIDAE,APOBAETIS,12,11,1982,2016,9,3
APSECTROTANYPUS,318,Genus,FALSE,APSECTROTANYPUS,APSECTROTANYPUS,APSECTROTANYPUS,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,APSECTROTANYPUS,3,2,2006,2018,1,2
AQUARIUS,237,Genus,FALSE,AQUARIUS,AQUARIUS,AQUARIUS,ARTHROPODA,INSECTA,HEMIPTERA,GERRIDAE,AQUARIUS,144,114,2006,2020,8,136
AQUARIUS NEBULARIS,937,Species,FALSE,AQUARIUS NEBULARIS,AQUARIUS,AQUARIUS NEBULARIS,ARTHROPODA,INSECTA,HEMIPTERA,GERRIDAE,AQUARIUS,3,3,1984,2011,2,1
ARACHNIDA,1800,Class,TRUE,ARACHNIDA,ARACHNIDA,ARACHNIDA,ARTHROPODA,ARACHNIDA,,,,22,22,2009,2017,,22
ARCHILESTES,,Genus,FALSE,ARCHILESTES,ARCHILESTES,ARCHILESTES,ARTHROPODA,INSECTA,ODONATA,LESTIDAE,ARCHILESTES,,,,,,
ARCHILESTES GRANDIS,334,Species,FALSE,ARCHILESTES GRANDIS,ARCHILESTES,ARCHILESTES GRANDIS,ARTHROPODA,INSECTA,ODONATA,LESTIDAE,ARCHILESTES,2,2,2006,2016,1,1
ARGIA,130,Genus,FALSE,ARGIA,ARGIA,ARGIA,ARTHROPODA,INSECTA,ODONATA,COENAGRIONIDAE,ARGIA,2482,547,1980,2020,1984,498
ARGIA APICALIS,401,Species,FALSE,ARGIA APICALIS,ARGIA,ARGIA APICALIS,ARTHROPODA,INSECTA,ODONATA,COENAGRIONIDAE,ARGIA,1,1,1980,1980,1,
ARGIA BIPUNCTULATA,1001,Species,FALSE,ARGIA BIPUNCTULATA,ARGIA,ARGIA BIPUNCTULATA,ARTHROPODA,INSECTA,ODONATA,COENAGRIONIDAE,ARGIA,28,9,1991,2001,28,
ARGIA FUMIPENNIS,,Species,FALSE,ARGIA FUMIPENNIS,ARGIA,ARGIA FUMIPENNIS,ARTHROPODA,INSECTA,ODONATA,COENAGRIONIDAE,ARGIA,,,,,,
ARGIA FUMIPENNIS VIOLACEA,614,Species,FALSE,ARGIA FUMIPENNIS,ARGIA,ARGIA FUMIPENNIS,ARTHROPODA,INSECTA,ODONATA,COENAGRIONIDAE,ARGIA,1,1,1994,1994,1,
ARGIA MOESTA,192,Species,FALSE,ARGIA MOESTA,ARGIA,ARGIA MOESTA,ARTHROPODA,INSECTA,ODONATA,COENAGRIONIDAE,ARGIA,15,13,1980,2016,15,
ARGULUS,220,Genus,TRUE,ARGULUS,ARGULUS,ARGULUS,ARTHROPODA,MAXILLOPODA,ARGULOIDA,ARGULIDAE,ARGULUS,2,2,2006,2011,1,1
ARIGOMPHUS,603,Genus,FALSE,ARIGOMPHUS,ARIGOMPHUS,ARIGOMPHUS,ARTHROPODA,INSECTA,ODONATA,GOMPHIDAE,ARIGOMPHUS,23,21,1992,2017,7,16
ARIGOMPHUS LENTULUS,602,Species,FALSE,ARIGOMPHUS LENTULUS,ARIGOMPHUS,ARIGOMPHUS LENTULUS,ARTHROPODA,INSECTA,ODONATA,GOMPHIDAE,ARIGOMPHUS,11,10,2009,2017,36,16
ARIGOMPHUS LENTULUS/GOMPHUS MILITARIS,,Species,FALSE,ARIGOMPHUS LENTULUS/GOMPHUS MILITARIS,ARIGOMPHUS LENTULUS/GOMPHUS MILITARIS,ARIGOMPHUS LENTULUS/GOMPHUS MILITARIS,ARTHROPODA,INSECTA,ODONATA,GOMPHIDAE,ARIGOMPHUS,47,32,1980,2008,,
ARIGOMPHUS SUBMEDIANUS,258,Species,FALSE,ARIGOMPHUS SUBMEDIANUS,ARIGOMPHUS,ARIGOMPHUS SUBMEDIANUS,ARTHROPODA,INSECTA,ODONATA,GOMPHIDAE,ARIGOMPHUS,6,6,2006,2017,1,5
ASELLIDAE,329,Family,FALSE,ASELLIDAE,ASELLIDAE,ASELLIDAE,ARTHROPODA,MALACOSTRACA,ISOPODA,ASELLIDAE,,10,9,2006,2019,1,9
ASELLUS,167,Genus,FALSE,ASELLUS,ASELLUS,ASELLUS,ARTHROPODA,MALACOSTRACA,ISOPODA,ASELLIDAE,ASELLUS,42,21,1980,2014,42,
ATHERIX,68,Genus,FALSE,ATHERIX,ATHERIX,ATHERIX,ARTHROPODA,INSECTA,DIPTERA,ATHERICIDAE,ATHERIX,10,4,1980,2009,10,
ATRICHOPOGON,136,Genus,FALSE,ATRICHOPOGON,ATRICHOPOGON,ATRICHOPOGON,ARTHROPODA,INSECTA,DIPTERA,CERATOPOGONIDAE,ATRICHOPOGON,24,22,2006,2020,12,12
ATTANEURIA,,Genus,FALSE,ATTANEURIA,ATTANEURIA,ATTANEURIA,ARTHROPODA,INSECTA,PLECOPTERA,PERLIDAE,ATTANEURIA,,,,,,
ATTANEURIA RURALIS,146,Species,FALSE,ATTANEURIA RURALIS,ATTANEURIA,ATTANEURIA RURALIS,ARTHROPODA,INSECTA,PLECOPTERA,PERLIDAE,ATTANEURIA,104,20,1982,2016,101,3
AULODRILUS PLURISETA,390,Species,FALSE,AULODRILUS PLURISETA,OLIGOCHAETA,AULODRILUS PLURISETA,ANNELIDA,OLIGOCHAETA,TUBIFICIDA,NAIDIDAE,AULODRILUS,1,1,2015,2015,1,
AXARUS,100,Genus,FALSE,AXARUS,AXARUS,AXARUS,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,AXARUS,111,72,2005,2019,74,37
BACTRURUS,1315,Genus,FALSE,BACTRURUS,BACTRURUS,BACTRURUS,ARTHROPODA,MALACOSTRACA,AMPHIPODA,CRANGONYCTIDAE,BACTRURUS,5,4,1983,1996,5,
BAETIDAE,226,Family,FALSE,BAETIDAE,BAETIDAE,BAETIDAE,ARTHROPODA,INSECTA,EPHEMEROPTERA,BAETIDAE,,388,207,2004,2020,201,187
BAETIS,75,Genus,FALSE,BAETIS,BAETIS,BAETIS,ARTHROPODA,INSECTA,EPHEMEROPTERA,BAETIDAE,BAETIS,772,258,2005,2020,1575,243
BAETIS INTERCALARIS,584,Species,FALSE,BAETIS INTERCALARIS,BAETIS,BAETIS INTERCALARIS,ARTHROPODA,INSECTA,EPHEMEROPTERA,BAETIDAE,BAETIS,8,8,1984,2016,2,6
BAETIS/FALLCEON/HETEROCLOEON/PLAUDITUS,,Genus,FALSE,BAETIS/FALLCEON/HETEROCLOEON/PLAUDITUS,BAETIS/FALLCEON/HETEROCLOEON/PLAUDITUS,BAETIS/FALLCEON/HETEROCLOEON/PLAUDITUS,ARTHROPODA,INSECTA,EPHEMEROPTERA,BAETIDAE,BAETIS/FALLCEON/HETEROCLOEON/PLAUDITUS,1046,163,1980,2004,,
BASIAESCHNA,,Genus,FALSE,BASIAESCHNA,BASIAESCHNA,BASIAESCHNA,ARTHROPODA,INSECTA,ODONATA,AESHNIDAE,BASIAESCHNA,,,,,,
BASIAESCHNA JANATA,692,Species,FALSE,BASIAESCHNA JANATA,BASIAESCHNA,BASIAESCHNA JANATA,ARTHROPODA,INSECTA,ODONATA,AESHNIDAE,BASIAESCHNA,101,58,1981,2020,55,46
BELOSTOMA,109,Genus,FALSE,BELOSTOMA,BELOSTOMA,BELOSTOMA,ARTHROPODA,INSECTA,HEMIPTERA,BELOSTOMATIDAE,BELOSTOMA,585,287,1980,2020,403,182
BELOSTOMATIDAE,227,Family,FALSE,BELOSTOMATIDAE,BELOSTOMATIDAE,BELOSTOMATIDAE,ARTHROPODA,INSECTA,HEMIPTERA,BELOSTOMATIDAE,,24,24,2006,2018,5,19
BEROSUS,25,Genus,FALSE,BEROSUS,BEROSUS,BEROSUS,ARTHROPODA,INSECTA,COLEOPTERA,HYDROPHILIDAE,BEROSUS,1152,422,1980,2020,793,359
BEZZIA/PALPOMYIA,36,Genus,FALSE,BEZZIA/PALPOMYIA,BEZZIA/PALPOMYIA,BEZZIA/PALPOMYIA,ARTHROPODA,INSECTA,DIPTERA,CERATOPOGONIDAE,BEZZIA/PALPOMYIA,360,156,1980,2020,316,44
BIVALVIA,488,Class,FALSE,BIVALVIA,BIVALVIA,BIVALVIA,MOLLUSCA,BIVALVIA,,,,4,3,2004,2017,1,3
BOYERIA,126,Genus,FALSE,BOYERIA,BOYERIA,BOYERIA,ARTHROPODA,INSECTA,ODONATA,AESHNIDAE,BOYERIA,6,6,2004,2017,1,5
BOYERIA VINOSA,565,Species,FALSE,BOYERIA VINOSA,BOYERIA,BOYERIA VINOSA,ARTHROPODA,INSECTA,ODONATA,AESHNIDAE,BOYERIA,19,17,1980,2016,6,13
BRACHYCENTRUS,1394,Genus,FALSE,BRACHYCENTRUS,BRACHYCENTRUS,BRACHYCENTRUS,ARTHROPODA,INSECTA,TRICHOPTERA,BRACHYCENTRIDAE,BRACHYCENTRUS,18,12,1997,2019,13,5
BRACHYCENTRUS NUMEROSUS,1393,Species,FALSE,BRACHYCENTRUS NUMEROSUS,BRACHYCENTRUS,BRACHYCENTRUS NUMEROSUS,ARTHROPODA,INSECTA,TRICHOPTERA,BRACHYCENTRIDAE,BRACHYCENTRUS,22,6,1982,2016,22,
BRACHYCERCUS,80,Genus,FALSE,BRACHYCERCUS,BRACHYCERCUS,BRACHYCERCUS,ARTHROPODA,INSECTA,EPHEMEROPTERA,CAENIDAE,BRACHYCERCUS,170,65,1980,2019,159,11
BRANCHIOBDELLIDAE,450,Family,TRUE,BRANCHIOBDELLIDAE,BRANCHIOBDELLIDAE,BRANCHIOBDELLIDAE,ANNELIDA,OLIGOCHAETA,BRANCHIOBDELLID,BRANCHIOBDELLIDAE,,49,46,2006,2020,8,41
BRANCHIURA SOWERBYI,274,Species,FALSE,BRANCHIURA SOWERBYI,OLIGOCHAETA,BRANCHIURA SOWERBYI,ANNELIDA,OLIGOCHAETA,TUBIFICIDA,NAIDIDAE,BRANCHIURA,204,75,2008,2020,184,20
BRATISLAVIA,410,Genus,FALSE,BRATISLAVIA,OLIGOCHAETA,BRATISLAVIA,ANNELIDA,OLIGOCHAETA,TUBIFICIDA,NAIDIDAE,BRATISLAVIA,1,1,2015,2015,1,
BRECHMORHOGA,,Genus,FALSE,BRECHMORHOGA,BRECHMORHOGA,BRECHMORHOGA,ARTHROPODA,INSECTA,ODONATA,LIBELLULIDAE,BRECHMORHOGA,,,,,,
BRECHMORHOGA MENDAX,138,Species,FALSE,BRECHMORHOGA MENDAX,BRECHMORHOGA,BRECHMORHOGA MENDAX,ARTHROPODA,INSECTA,ODONATA,LIBELLULIDAE,BRECHMORHOGA,2,2,2004,2014,2,
BRILLIA,705,Genus,FALSE,BRILLIA,BRILLIA,BRILLIA,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,BRILLIA,28,26,1980,2016,13,15
BUENOA,559,Genus,FALSE,BUENOA,BUENOA,BUENOA,ARTHROPODA,INSECTA,HEMIPTERA,NOTONECTIDAE,BUENOA,7,7,1980,2005,7,
BUENOA MARGARITACEA,395,Species,FALSE,BUENOA MARGARITACEA,BUENOA,BUENOA MARGARITACEA,ARTHROPODA,INSECTA,HEMIPTERA,NOTONECTIDAE,BUENOA,1,1,1986,1986,1,
CAECIDOTEA,349,Genus,FALSE,CAECIDOTEA,CAECIDOTEA,CAECIDOTEA,ARTHROPODA,MALACOSTRACA,ISOPODA,ASELLIDAE,CAECIDOTEA,4,4,2010,2016,3,1
CAENIDAE,190,Family,FALSE,CAENIDAE,CAENIDAE,CAENIDAE,ARTHROPODA,INSECTA,EPHEMEROPTERA,CAENIDAE,,37,29,2006,2020,20,17
CAENIS,81,Genus,FALSE,CAENIS,CAENIS,CAENIS,ARTHROPODA,INSECTA,EPHEMEROPTERA,CAENIDAE,CAENIS,984,437,2005,2020,1420,472
CALLIBAETIS,76,Genus,FALSE,CALLIBAETIS,CALLIBAETIS,CALLIBAETIS,ARTHROPODA,INSECTA,EPHEMEROPTERA,BAETIDAE,CALLIBAETIS,377,226,1980,2020,246,131
CALLICORIXA,291,Genus,FALSE,CALLICORIXA,CALLICORIXA,CALLICORIXA,ARTHROPODA,INSECTA,HEMIPTERA,CORIXIDAE,CALLICORIXA,2,2,1986,2004,2,
CALLIOBDELLA VIVIDA,1470,Species,FALSE,CALLIOBDELLA VIVIDA,PISCICOLIDAE,CALLIOBDELLA VIVIDA,ANNELIDA,HIRUDINEA,RHYNCHOBDELLIDA,PISCICOLIDAE,CALLIOBDELLA,1,1,1990,1990,1,
CALOPTERYGIDAE,286,Family,FALSE,CALOPTERYGIDAE,CALOPTERYGIDAE,CALOPTERYGIDAE,ARTHROPODA,INSECTA,ODONATA,CALOPTERYGIDAE,,19,19,2006,2019,10,9
CALOPTERYX,,Genus,FALSE,CALOPTERYX,CALOPTERYX,CALOPTERYX,ARTHROPODA,INSECTA,ODONATA,CALOPTERYGIDAE,CALOPTERYX,,,,,,
CALOPTERYX MACULATA,188,Species,FALSE,CALOPTERYX MACULATA,CALOPTERYX,CALOPTERYX MACULATA,ARTHROPODA,INSECTA,ODONATA,CALOPTERYGIDAE,CALOPTERYX,281,148,1980,2020,201,80
CAMBARIDAE,267,Family,FALSE,CAMBARIDAE,CAMBARIDAE,CAMBARIDAE,ARTHROPODA,MALACOSTRACA,DECAPODA,CAMBARIDAE,,212,139,1980,2018,140,72
CAMBARINCOLA,1473,Genus,FALSE,CAMBARINCOLA,OLIGOCHAETA,CAMBARINCOLA,ANNELIDA,OLIGOCHAETA,BRANCHIOBDELLID,BRANCHIOBDELLIDAE,CAMBARINCOLA,98,64,1984,2019,68,30
CAMBARUS,,Genus,FALSE,CAMBARUS,CAMBARUS,CAMBARUS,ARTHROPODA,MALACOSTRACA,DECAPODA,CAMBARIDAE,CAMBARUS,,,,,,
CAMBARUS DIOGENES,86,Species,FALSE,CAMBARUS DIOGENES,CAMBARUS,CAMBARUS DIOGENES,ARTHROPODA,MALACOSTRACA,DECAPODA,CAMBARIDAE,CAMBARUS,1,1,2004,2004,1,
CAMELOBAETIDIUS,78,Genus,FALSE,CAMELOBAETIDIUS,CAMELOBAETIDIUS,CAMELOBAETIDIUS,ARTHROPODA,INSECTA,EPHEMEROPTERA,BAETIDAE,CAMELOBAETIDIUS,104,28,1981,2018,100,4
CAPNIIDAE,408,Family,FALSE,CAPNIIDAE,CAPNIIDAE,CAPNIIDAE,ARTHROPODA,INSECTA,PLECOPTERA,CAPNIIDAE,,4,4,1986,2001,4,
CARABIDAE,449,Family,FALSE,CARABIDAE,CARABIDAE,CARABIDAE,ARTHROPODA,INSECTA,COLEOPTERA,CARABIDAE,,25,25,1980,2019,8,17
CARDIOCLADIUS,1591,Genus,FALSE,CARDIOCLADIUS,CARDIOCLADIUS,CARDIOCLADIUS,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,CARDIOCLADIUS,10,4,1988,2013,8,2
CELINA,,Genus,FALSE,CELINA,CELINA,CELINA,ARTHROPODA,INSECTA,COLEOPTERA,DYTISCIDAE,CELINA,,,,,,
CELINA HUBBELLI,184,Species,FALSE,CELINA HUBBELLI,CELINA,CELINA HUBBELLI,ARTHROPODA,INSECTA,COLEOPTERA,DYTISCIDAE,CELINA,2,2,2006,2018,2,
CELITHEMIS,1346,Genus,FALSE,CELITHEMIS,CELITHEMIS,CELITHEMIS,ARTHROPODA,INSECTA,ODONATA,LIBELLULIDAE,CELITHEMIS,2,2,1980,1983,2,
CELITHEMIS EPONINA,1040,Species,FALSE,CELITHEMIS EPONINA,CELITHEMIS,CELITHEMIS EPONINA,ARTHROPODA,INSECTA,ODONATA,LIBELLULIDAE,CELITHEMIS,4,4,1983,2019,2,2
CENOCORIXA,1466,Genus,FALSE,CENOCORIXA,CENOCORIXA,CENOCORIXA,ARTHROPODA,INSECTA,HEMIPTERA,CORIXIDAE,CENOCORIXA,1,1,1983,1983,1,
CENTROPTILUM,77,Genus,FALSE,CENTROPTILUM,CENTROPTILUM,CENTROPTILUM,ARTHROPODA,INSECTA,EPHEMEROPTERA,BAETIDAE,ANAFROPTILUM/NEOCLOEON,339,125,1980,2020,294,45
CERACLEA,160,Genus,FALSE,CERACLEA,CERACLEA,CERACLEA,ARTHROPODA,INSECTA,TRICHOPTERA,LEPTOCERIDAE,CERACLEA,127,65,1980,2020,106,21
CERACLEA ANCYLUS,1404,Species,FALSE,CERACLEA ANCYLUS,CERACLEA,CERACLEA ANCYLUS,ARTHROPODA,INSECTA,TRICHOPTERA,LEPTOCERIDAE,CERACLEA,18,13,1984,2010,17,1
CERACLEA FLAVA,1406,Species,FALSE,CERACLEA FLAVA,CERACLEA,CERACLEA FLAVA,ARTHROPODA,INSECTA,TRICHOPTERA,LEPTOCERIDAE,CERACLEA,13,10,1991,2009,10,3
CERACLEA MACULATA,1407,Species,FALSE,CERACLEA MACULATA,CERACLEA,CERACLEA MACULATA,ARTHROPODA,INSECTA,TRICHOPTERA,LEPTOCERIDAE,CERACLEA,25,19,1985,2019,21,4
CERACLEA NEFFI,1409,Species,FALSE,CERACLEA NEFFI,CERACLEA,CERACLEA NEFFI,ARTHROPODA,INSECTA,TRICHOPTERA,LEPTOCERIDAE,CERACLEA,35,20,1986,2015,35,
CERACLEA NEPHA,635,Species,FALSE,CERACLEA NEPHA,CERACLEA,CERACLEA NEPHA,ARTHROPODA,INSECTA,TRICHOPTERA,LEPTOCERIDAE,CERACLEA,1,1,1986,1986,1,
CERACLEA SPONGILLOVORAX,636,Species,FALSE,CERACLEA SPONGILLOVORAX,CERACLEA,CERACLEA SPONGILLOVORAX,ARTHROPODA,INSECTA,TRICHOPTERA,LEPTOCERIDAE,CERACLEA,57,40,1982,2018,56,1
CERACLEA TRANSVERSA,1412,Species,FALSE,CERACLEA TRANSVERSA,CERACLEA,CERACLEA TRANSVERSA,ARTHROPODA,INSECTA,TRICHOPTERA,LEPTOCERIDAE,CERACLEA,4,4,1983,2017,4,
CERATOPOGON,1554,Genus,FALSE,CERATOPOGON,CERATOPOGON,CERATOPOGON,ARTHROPODA,INSECTA,DIPTERA,CERATOPOGONIDAE,CERATOPOGON,23,22,1984,2018,14,9
CERATOPOGONIDAE,211,Family,FALSE,CERATOPOGONIDAE,CERATOPOGONIDAE,CERATOPOGONIDAE,ARTHROPODA,INSECTA,DIPTERA,CERATOPOGONIDAE,,167,117,1980,2019,97,70
CERATOPSYCHE,1398,Genus,FALSE,CERATOPSYCHE,CERATOPSYCHE,CERATOPSYCHE,ARTHROPODA,INSECTA,TRICHOPTERA,HYDROPSYCHIDAE,CERATOPSYCHE,13,12,1986,2018,7,6
CERATOPSYCHE MOROSA,1099,Species,FALSE,CERATOPSYCHE MOROSA,CERATOPSYCHE,CERATOPSYCHE MOROSA,ARTHROPODA,INSECTA,TRICHOPTERA,HYDROPSYCHIDAE,CERATOPSYCHE,19,15,1989,2018,11,8
